word;Happiness;Anger;Sadness;Fear;Disgust
nagradzać;5.385;1.308;1.231;1.231;1.000
nagranie;3.519;1.630;1.407;2.222;1.630
nagrywać;3.038;2.654;1.808;3.423;2.038
naiwność;1.500;4.000;3.846;2.808;2.654
naiwny;1.615;3.423;4.115;3.500;2.769
najemca;1.962;2.346;2.192;2.385;2.077
nalegać;1.269;4.077;2.308;2.692;2.577
należeć;3.538;1.808;1.962;2.538;1.615
nałóg;1.481;4.111;3.778;3.407;3.815
napad;1.115;4.000;2.962;4.923;3.077
napadać;1.038;4.269;3.500;4.731;3.808
napastować;1.333;4.222;3.926;4.889;4.926
napełniać;3.444;1.333;1.370;1.481;1.370
napierać;1.769;3.192;2.500;3.462;2.462
napięcie;1.778;2.815;2.037;3.593;1.741
napotykać;3.385;1.654;1.577;2.154;1.308
narażać;1.407;3.926;3.259;4.481;2.481
narkotyk;1.963;3.444;3.519;4.593;4.741
narkoza;2.148;1.778;2.704;5.037;1.778
narodowy;3.423;1.962;2.154;1.500;1.769
narodziny;5.692;1.192;1.538;3.038;1.692
naród;3.846;2.077;2.346;1.769;1.423
nastawać;1.500;2.577;2.115;3.385;1.885
następca;2.778;1.889;2.333;2.148;1.593
nastrojowy;4.370;1.407;2.185;1.704;1.259
nastrój;4.308;2.577;3.269;2.462;1.923
naturalny;4.667;1.333;1.407;1.481;1.333
nauczka;1.731;3.962;3.231;3.192;2.500
nauczyciel;2.667;2.259;1.593;2.222;1.704
nauczycielka;3.037;2.444;2.111;2.556;1.741
nawiązywać;3.269;1.269;1.346;1.885;1.192
nazista;1.231;5.038;3.904;4.558;5.192
nazwisko;2.231;1.462;1.423;1.692;1.462
nazywać;2.963;1.556;1.444;1.556;1.444
negacja;1.192;3.308;2.615;2.308;1.885
negatywny;1.308;4.154;4.269;3.654;3.308
negować;1.615;2.808;2.231;2.231;1.808
nekrolog;1.111;2.778;5.148;4.222;2.519
nerka;2.077;1.538;2.154;2.654;2.269
nerwica;1.333;4.111;4.111;4.259;2.741
nędzny;1.519;2.778;4.037;3.259;3.481
nić;2.692;1.500;1.769;1.538;1.654
niebezpieczeństwo;1.346;3.231;3.154;5.615;2.231
niebo;5.889;1.148;1.407;1.926;1.074
niechęć;1.346;4.077;3.385;3.154;4.192
niecierpliwość;1.154;3.885;2.385;2.423;2.500
nieczuły;1.269;3.577;4.885;3.346;2.654
niedopatrzenie;1.269;4.577;3.231;3.846;2.654
niedorzeczny;1.593;3.667;2.296;2.259;2.259
niedozwolony;1.538;3.692;2.846;3.269;1.846
niedziela;4.385;1.923;1.846;1.538;1.385
niegrzeczny;1.462;3.885;2.385;2.115;2.192
nielegalny;1.577;3.577;2.654;4.308;2.538
nieład;1.692;4.000;2.769;2.846;3.192
niełaska;1.407;3.185;3.148;2.889;2.037
niemowlę;5.037;1.593;1.148;3.222;1.296
niemy;1.385;2.462;4.462;2.654;2.077
nienaganny;3.731;1.731;1.500;1.462;1.385
nienawidzić;1.296;5.037;4.111;3.259;2.852
nieoczekiwany;3.077;1.846;1.462;2.885;1.385
nieodzowny;2.407;1.704;1.889;1.963;1.593
niepogoda;1.269;2.692;3.923;1.577;1.885
niepokój;1.077;2.423;3.769;5.346;2.731
nieporadny;1.231;3.923;3.308;2.154;2.769
nieprawidłowy;1.500;3.692;2.808;2.808;2.115
nieprzyjaciel;1.462;3.846;2.615;3.385;2.846
nieprzystępny;1.231;3.423;3.269;3.231;2.231
nieruchomy;1.692;2.308;2.577;3.000;1.692
nieskazitelny;3.923;1.500;1.308;1.615;1.615
nieskończony;3.074;2.148;2.074;3.407;1.296
niespodziewany;3.615;2.231;1.808;3.423;1.692
niespokojny;1.370;3.111;2.963;4.481;2.222
niesprawiedliwy;1.115;5.077;4.000;2.692;3.269
nieszczęście;1.231;4.462;5.538;4.885;2.731
nieśmiały;1.667;1.963;3.000;3.074;1.630
nietrzeźwy;1.778;3.481;3.185;3.185;3.852
nieuczciwy;1.308;5.000;3.923;3.654;4.231
nieudacznik;1.111;3.630;4.630;3.185;3.185
nieufność;1.222;3.481;3.444;4.444;2.667
nieuprawniony;1.192;3.577;2.577;2.731;2.000
niewdzięczny;1.192;4.577;3.923;1.923;4.000
niewierność;1.333;5.407;4.963;4.963;4.889
niewierny;1.308;4.923;5.115;4.538;4.769
niewinny;3.692;1.423;1.923;1.538;1.154
niewolnica;1.577;4.692;5.000;4.577;4.077
niewolniczy;1.269;4.731;4.808;4.308;3.962
niewygodny;1.630;3.519;2.259;1.815;2.444
niewymuszony;3.654;1.423;1.731;1.346;1.231
niewypał;1.500;3.692;2.962;3.615;2.462
niezamężny;2.370;1.741;2.296;2.185;1.296
niezdrowy;1.423;2.962;3.077;3.000;3.192
niezgoda;1.370;3.889;3.556;2.815;2.111
niezgodny;1.667;3.593;2.667;2.593;2.259
niezmordowany;3.885;1.385;1.692;1.577;1.269
nieżyciowy;1.462;3.769;3.346;2.538;2.654
nieżywy;1.115;3.192;5.692;5.346;3.692
nikotyna;1.231;4.192;4.000;3.308;4.577
nikt;1.538;1.615;3.423;2.423;1.769
niszczyć;1.538;4.385;3.000;3.038;2.692
nobilitować;3.308;1.577;1.385;1.423;1.385
noc;3.500;1.346;2.615;2.846;1.462
nos;2.296;1.667;1.556;1.407;1.519
nosić;2.154;2.077;2.115;2.115;1.808
nosze;1.346;2.615;3.731;3.731;2.115
notariusz;1.577;2.577;2.577;3.077;2.115
notować;1.923;2.038;1.654;1.731;1.769
nowoczesny;4.000;2.154;1.654;2.654;2.000
nowotwór;1.192;3.692;4.654;5.308;3.000
nożyczki;1.769;2.038;1.692;3.192;1.769
nóż;1.731;3.538;2.538;4.500;2.731
nuklearny;1.654;2.808;3.000;4.615;2.769
nurkować;4.231;1.154;1.308;2.962;1.346
oaza;5.385;1.077;1.308;1.385;1.000
obawa;1.423;2.423;3.308;4.808;2.154
obcas;3.077;2.000;1.962;1.538;1.538
obciążać;1.115;3.308;2.923;2.577;1.923
obdarty;1.077;2.692;3.846;3.038;3.615
obejmować;4.962;1.269;1.846;1.654;1.308
obiekt;1.962;1.654;1.615;1.538;1.423
objawienie;3.654;1.769;1.308;2.462;1.500
obława;1.500;2.846;3.000;4.500;2.692
obłąkany;1.423;2.308;3.231;4.654;3.154
obłędny;3.889;1.741;1.519;2.593;2.037
obniżać;2.111;2.667;2.519;2.741;2.000
obowiązkowy;3.259;2.741;1.778;2.259;1.519
obowiązywać;1.808;2.538;1.885;1.923;1.692
obóz;2.308;2.654;3.231;3.154;2.500
obrabować;1.556;4.926;3.926;5.185;4.000
obracać;2.462;1.962;1.615;1.731;1.731
obradować;2.519;2.333;1.852;2.185;1.815
obraz;3.385;1.615;2.192;1.846;1.577
obrażony;1.077;4.038;3.577;2.615;1.962
obrączka;4.923;1.423;1.615;2.500;1.346
obronny;2.962;1.500;1.346;2.462;1.269
obrót;2.308;1.423;1.192;1.923;1.154
obrzydliwy;1.346;3.038;2.500;2.654;5.423
obrzydzenie;1.115;3.269;2.462;3.269;5.500
obserwować;2.308;1.346;1.346;1.962;1.269
obskurny;1.556;2.778;3.148;2.926;4.333
obsługiwać;2.481;2.333;1.815;2.296;2.185
obstawiać;2.808;1.808;1.462;3.000;1.346
obszar;2.154;1.462;1.615;1.808;1.538
obślinić;1.692;2.000;1.269;1.692;4.269
obumierać;1.308;2.923;4.923;4.654;2.885
obwisły;1.115;3.115;2.885;3.231;4.846
ocean;4.667;1.407;1.704;2.889;1.593
ocena;2.885;3.000;2.731;4.038;1.923
ocenzurowany;1.269;3.269;2.846;2.462;3.154
ocet;1.630;1.556;1.778;1.593;3.370
ochota;4.846;1.269;1.308;1.654;1.269
ochraniać;4.538;2.000;1.962;3.038;1.692
ochrona;4.038;1.923;1.500;2.346;1.808
ociekać;2.778;1.926;1.593;1.741;2.667
oczekiwać;3.154;2.115;1.923;2.308;1.500
oczekiwanie;3.370;2.407;2.333;3.333;1.704
oczyszczać;2.731;1.654;1.308;1.692;2.038
odbierać;2.385;2.423;1.962;2.808;1.731
odbitka;2.038;1.231;1.385;1.192;1.192
odczuwać;4.077;1.615;2.231;2.385;1.577
odczyt;2.111;1.481;1.741;2.111;1.444
oddalony;1.741;2.593;3.778;3.630;1.444
oddawać;2.577;2.231;2.385;1.654;1.500
oddychać;4.000;1.308;1.231;1.538;1.038
oddział;1.889;2.074;1.963;2.778;1.667
oddziaływanie;2.846;1.731;1.385;1.846;1.346
odejście;1.667;3.667;4.852;4.370;1.926
odetchnąć;4.593;1.815;1.815;1.926;1.185
odizolowany;1.115;3.000;4.654;4.231;2.731
odjazd;2.846;2.231;3.538;2.538;1.500
odkrywać;4.231;1.269;1.346;2.654;1.192
odlatywać;4.577;1.346;1.538;2.038;1.115
odległość;2.444;2.667;3.333;3.185;1.778
odmawiać;1.885;3.231;3.115;3.385;2.615
odmowa;1.231;4.423;4.154;3.692;2.538
odosobniony;1.577;3.308;5.231;4.269;2.385
odpady;1.185;3.185;2.444;2.333;4.519
odpierać;2.500;2.615;1.577;2.692;1.808
odpowiadać;2.346;1.962;1.808;3.038;1.692
odpowiedzialny;4.808;1.769;2.231;3.500;1.500
odpowiedź;3.423;1.654;1.615;2.462;1.462
odpuścić;2.577;3.385;3.077;2.423;2.154
odraczać;1.731;3.115;2.846;3.462;1.962
odrażający;1.077;2.385;2.385;3.615;5.231
odrzucać;1.346;4.308;4.038;3.962;2.769
odsetek;1.808;2.077;1.846;1.923;1.846
odsetki;2.808;2.846;2.769;3.269;2.308
odstęp;1.769;1.769;1.692;1.846;1.538
odwaga;5.519;1.852;1.704;2.370;1.148
odważny;5.000;1.615;2.000;3.000;1.192
odwiedzać;4.444;1.630;1.593;2.481;1.481
odwracać;1.538;2.231;2.538;2.692;1.731
odwyk;1.889;2.667;3.889;3.741;3.481
odznaczać;3.385;1.615;1.731;1.846;1.538
odżywać;4.962;1.462;1.346;1.692;1.308
odżywczy;4.192;1.423;1.269;1.500;1.538
oferować;3.231;2.154;1.462;2.038;1.962
oferta;3.704;1.333;1.333;2.148;1.259
ofiara;1.423;3.962;5.000;4.731;3.154
ofiarować;4.308;1.231;1.769;1.808;1.231
oficer;2.423;1.731;1.423;2.500;1.654
ogień;3.259;2.370;2.593;3.407;1.630
ognisty;3.333;2.148;1.519;2.556;1.407
ogórek;3.269;1.385;1.538;1.346;1.462
ograniczać;1.185;5.222;3.667;3.111;2.963
ogród;5.692;1.231;1.923;1.577;1.077
ogrzewanie;4.500;1.346;1.231;1.154;1.269
ohydny;1.192;3.038;2.731;3.885;5.615
ojciec;4.615;2.192;2.154;2.038;1.269
ojczyzna;4.556;1.778;2.593;2.296;1.481
okaleczony;1.296;3.444;4.704;3.704;3.556
oklapnięty;1.519;2.444;3.037;1.963;2.074
oklaski;5.423;1.462;1.154;1.654;1.269
oklaskiwać;4.731;1.385;1.346;1.385;1.346
okno;3.556;1.333;1.963;2.148;1.259
oko;3.000;1.333;1.481;1.778;1.333
okolica;3.385;1.423;1.615;1.462;1.346
określać;1.885;1.885;1.462;1.808;1.769
okrężny;1.444;2.667;1.704;1.630;1.556
okrutnik;1.115;3.885;3.423;4.462;3.731
okrutny;1.115;5.346;4.577;5.038;4.269
okulary;2.385;2.038;1.846;1.885;1.308
olbrzymi;3.148;1.519;1.370;3.148;1.444
ołów;1.577;2.038;1.769;2.731;2.077
ołtarz;2.769;1.654;2.000;1.923;1.654
omen;1.692;2.231;2.500;4.077;2.654
opactwo;2.846;1.269;1.500;1.385;1.231
opadać;1.538;2.423;3.308;3.115;1.846
opady;1.923;2.846;3.000;2.115;2.500
opalony;4.444;1.259;1.222;1.407;1.370
opanować;3.885;1.923;1.769;2.346;1.423
opat;1.963;1.556;1.481;1.481;1.778
opatrywać;2.962;2.269;3.000;3.423;2.385
opera;3.269;1.654;1.692;1.462;1.808
opieka;4.963;1.667;1.926;2.185;1.259
opiekuńczy;5.462;1.577;1.423;1.692;1.308
opinia;2.519;2.259;2.074;2.963;1.667
opisywać;2.731;1.615;1.462;1.462;1.346
opium;1.923;1.846;2.192;2.885;2.538
opłakiwać;1.222;2.963;5.963;3.148;1.963
oporny;1.731;3.269;2.000;2.346;1.846
opowiadać;4.192;1.577;1.923;1.769;1.577
opozycja;1.538;2.692;2.038;2.346;2.154
opresja;1.192;3.500;3.731;4.885;2.654
opryszek;1.385;2.577;1.962;2.808;3.000
optyczny;2.385;1.308;1.385;1.731;1.385
optymalny;4.111;1.407;1.519;1.556;1.333
optymistyczny;5.654;1.154;1.269;1.423;1.115
opuszczać;1.615;3.192;4.692;3.962;1.923
orchidea;4.222;1.519;1.741;1.481;1.593
ordynarny;1.077;4.346;2.308;2.231;4.038
organ;2.346;1.615;2.154;2.577;2.731
organy;3.231;1.731;2.346;2.538;2.385
orgia;2.885;1.731;1.769;2.231;3.038
orzechowy;4.346;1.154;1.077;1.231;1.115
orzeczenie;2.154;2.654;2.769;3.462;2.346
orzeł;4.038;1.269;1.692;2.000;1.231
oset;2.000;2.111;1.593;2.111;2.148
osiągać;5.741;1.333;1.185;2.148;1.037
osiągnięcie;5.926;1.296;1.222;1.741;1.111
osierocony;1.077;3.077;5.538;4.077;2.192
osioł;2.500;2.808;1.846;1.577;2.154
oskarżać;1.192;4.115;3.038;3.308;2.654
oskarżenie;1.000;3.654;3.731;4.308;3.077
oskarżony;1.259;3.519;3.333;3.704;2.815
osoba;4.000;1.778;1.630;2.148;1.519
osobliwy;2.885;1.615;1.615;2.077;1.462
ostatni;1.962;3.423;4.615;3.885;1.962
ostrożność;2.885;2.077;1.923;3.308;1.769
ostrożny;3.077;1.692;1.731;2.577;1.423
ostry;2.269;2.769;2.308;3.654;2.154
ostrze;1.462;2.423;1.654;4.192;2.269
ostrzegać;2.259;2.037;2.333;4.037;1.593
ostrzeżenie;1.385;3.154;2.385;4.192;2.115
oswoić;4.615;1.346;1.231;1.846;1.154
oszałamiający;4.231;1.615;1.231;1.923;1.462
oszczędności;4.630;1.593;1.741;2.111;1.296
oszczędny;3.077;2.077;2.577;1.923;1.500
oszczędzać;3.556;2.000;2.148;2.259;1.519
oszust;1.037;5.593;3.370;4.000;4.593
oszustwo;1.038;4.962;4.538;4.423;4.923
oś;2.423;1.538;1.462;1.423;1.231
oświadczyny;4.923;1.346;1.692;3.038;1.231
otaczać;3.692;1.615;1.615;2.462;1.538
otrzymywać;4.923;1.269;1.423;1.808;1.192
otwierać;4.481;1.370;1.259;2.148;1.222
owad;1.407;2.444;1.667;2.852;3.630
owca;3.115;1.231;1.577;1.231;1.308
owdowieć;1.077;3.731;5.769;4.731;2.423
owies;2.741;1.222;1.333;1.185;1.481
owocowy;5.115;1.154;1.115;1.154;1.346
ożywiony;3.926;1.741;1.519;1.741;1.593
pachnidło;3.333;1.481;1.815;1.778;1.963
pachnieć;5.296;1.185;1.259;1.407;1.370
pacjent;1.269;2.808;3.577;3.923;2.692
paczka;4.308;1.192;1.269;1.654;1.385
padlina;1.148;2.481;2.852;3.852;5.444
pająk;1.346;1.923;1.423;3.731;4.308
pakt;2.654;2.538;2.346;2.808;1.885
palarnia;2.115;3.192;2.308;2.538;4.231
palec;2.846;1.346;1.500;1.462;1.385
palić;2.385;3.577;2.885;2.654;3.769
palma;4.222;1.259;1.185;1.148;1.148
pałac;3.731;1.385;1.462;1.500;1.423
pałać;3.769;1.615;1.500;1.500;1.346
pamiątka;4.923;1.385;2.692;1.615;1.462
pan;2.423;1.769;1.808;2.038;1.692
panda;4.846;1.231;1.769;1.385;1.308
paniczny;1.385;2.808;3.038;4.923;2.769
panieński;3.500;1.423;1.500;1.423;1.231
panika;1.259;3.074;2.556;4.741;2.741
panorama;4.115;1.192;1.654;1.385;1.077
panować;4.111;2.333;1.741;2.630;2.037
panowanie;3.192;2.385;1.885;3.154;2.192
pantera;3.115;1.538;1.231;3.423;1.500
panujący;2.615;2.692;1.808;2.962;2.423
państwo;2.500;2.346;2.462;2.346;2.038
papieros;2.148;3.148;2.630;2.481;4.963
papież;3.654;1.577;1.538;1.231;1.538
paplać;1.962;3.692;1.731;1.962;3.077
paprykowy;4.192;1.462;1.269;1.462;1.346
papuga;4.115;1.538;1.385;1.769;1.423
para;5.423;1.423;1.846;1.808;1.115
paradoksalny;2.577;2.500;2.077;1.808;1.615
parasol;3.038;1.462;1.615;1.308;1.346
park;5.077;1.077;1.808;1.769;1.077
parlament;1.769;4.077;2.769;2.192;3.000
parowiec;3.154;1.692;1.577;2.115;1.500
partia;1.654;3.654;2.654;2.615;3.308
partner;5.346;2.154;1.962;2.423;1.231
partyzancki;2.385;2.115;3.269;3.269;1.615
Paryż;5.154;1.115;1.385;1.462;1.038
pas;1.462;1.808;1.769;2.462;1.731
pasek;1.926;1.889;1.778;2.074;1.519
paserstwo;1.346;3.769;2.346;2.846;4.192
pasieka;3.654;1.115;1.308;1.731;1.192
pasjonujący;4.962;1.269;1.269;1.423;1.154
pasożyt;1.308;4.308;3.192;5.000;5.538
pasta;2.846;1.615;1.385;1.346;1.385
pasterz;3.308;1.154;1.538;1.385;1.115
pastor;2.077;1.423;1.769;1.885;1.808
pasywny;1.407;3.593;2.852;2.407;2.148
patelnia;2.885;1.885;1.308;1.462;1.269
paw;4.115;1.269;1.654;1.500;1.423
pazerny;1.333;5.000;3.222;2.704;4.370
paznokieć;2.077;1.731;1.692;2.000;2.308
pazur;2.038;2.154;1.962;2.769;2.731
pąk;4.370;1.259;1.333;1.222;1.185
pech;1.269;4.500;4.346;3.577;2.577
pedał;1.615;3.423;2.692;2.115;3.077
pedantyczny;2.296;3.074;1.667;2.185;2.074
peerelowski;1.962;3.385;3.346;3.038;3.308
pełnia;4.741;1.222;1.815;1.963;1.000
pełnomocnik;2.346;1.962;1.731;2.538;1.846
pensja;4.115;2.462;2.423;3.077;1.769
pensum;2.231;1.731;1.731;2.077;1.538
perfekcyjny;4.038;2.077;1.577;1.885;1.346
perfumy;5.111;1.259;1.222;1.148;1.407
perłowy;3.846;1.231;1.231;1.192;1.192
Pers;3.074;1.630;1.630;1.852;1.444
perspektywa;4.370;1.407;1.407;2.000;1.222
perwersyjny;3.037;1.815;1.704;2.444;2.333
pęcherz;1.308;1.769;1.346;1.654;2.462
pędzel;2.154;1.269;1.231;1.346;1.231
pędzić;3.038;2.538;1.577;2.808;1.538
pękać;1.778;2.741;2.704;2.926;2.148
pępek;2.889;1.778;1.704;1.778;1.778
pęseta;1.667;1.370;1.481;1.926;1.778
piasek;3.846;1.615;1.192;1.231;1.346
pić;4.500;1.923;2.077;1.885;1.769
pieczętować;2.846;1.462;1.269;2.000;1.538
piekarnik;3.654;1.385;1.654;2.192;1.154
piekło;1.385;3.308;4.000;5.577;4.231
pielęgnacja;4.423;1.577;1.885;1.923;1.692
pielęgnować;5.000;1.519;1.704;2.037;1.519
pielgrzymować;3.593;1.185;1.593;2.074;1.407
pieniądze;4.704;1.889;1.667;2.074;1.741
pień;2.385;1.577;1.769;1.808;1.462
pierś;4.269;1.500;1.423;1.654;1.192
pierścionek;4.385;1.038;1.231;1.885;1.077
pies;4.846;1.346;1.731;2.192;1.423
pieścić;5.963;1.037;1.222;1.259;1.111
pięść;1.769;4.308;3.308;3.615;2.308
pięta;1.704;1.519;1.370;1.630;2.037
pigułka;2.154;2.692;2.654;3.692;2.731
pijany;1.615;3.231;3.769;3.231;4.308
pilnik;1.731;1.769;1.462;2.462;2.385
pilot;3.000;1.704;1.630;2.037;1.556
piła;1.852;2.185;1.926;3.259;2.037
piłka;4.077;1.615;1.538;1.615;1.269
pionek;2.077;2.885;2.808;2.500;1.962
piorun;2.333;2.074;1.852;3.963;1.815
piosenka;5.500;1.538;2.385;1.192;1.192
pióro;2.538;1.346;1.423;1.808;1.423
piracki;2.654;2.731;2.269;3.346;2.231
pirania;1.808;2.192;1.769;4.308;3.577
pisać;3.269;1.385;1.423;1.269;1.269
pisanka;4.115;1.115;1.154;1.077;1.385
pisklę;3.654;1.269;1.500;1.654;1.962
pistolet;1.769;3.231;3.154;4.808;3.308
piwnica;2.192;1.962;2.038;3.500;3.000
piwo;4.615;1.308;1.462;1.462;1.692
pizzeria;4.500;1.500;1.462;1.462;1.346
plaga;1.222;2.519;2.815;3.852;3.370
plagiat;1.038;4.885;3.423;3.423;3.962
plakat;3.111;2.074;1.519;1.407;1.593
plan;3.692;1.615;1.615;2.654;1.308
planeta;2.846;1.423;1.423;2.192;1.269
planowy;3.889;1.556;1.185;1.333;1.148
plantacja;3.615;1.308;1.654;1.692;1.346
plaster;2.346;1.808;1.885;1.885;1.731
platyna;3.963;1.444;1.370;1.519;1.444
plaża;5.577;1.615;1.885;1.538;1.731
plemię;2.444;1.519;1.481;2.074;1.370
plon;3.692;1.462;1.500;1.962;1.423
plotkarski;1.346;4.115;2.154;2.423;4.115
pluć;1.038;4.000;2.231;2.115;5.269
pluskwa;1.231;3.192;2.231;3.500;4.731
płacić;2.296;3.000;2.815;2.778;1.741
płakać;1.692;3.385;5.154;3.462;2.038
płaszcz;2.385;1.846;1.923;1.654;1.846
płatność;2.308;3.000;2.769;2.808;2.192
płomienny;4.154;1.654;1.346;1.846;1.308
płonąć;1.462;2.731;2.846;4.423;2.154
płuco;2.000;1.962;2.115;2.731;2.538
płynąć;4.308;1.654;2.000;3.308;1.538
płynny;3.231;1.462;1.538;1.577;1.654
płyta;3.654;1.231;1.385;1.231;1.115
pobożny;3.038;2.654;2.115;1.846;1.885
pobudzenie;4.038;2.423;1.769;2.500;2.038
pobyt;3.923;1.231;1.462;1.846;1.346
pochopny;1.889;2.963;2.519;3.074;1.963
pochwała;5.222;1.519;1.296;1.370;1.222
pociągający;4.346;1.500;1.385;2.231;1.269
pocieszać;4.115;2.000;3.577;2.269;1.423
początek;3.231;1.538;1.846;2.654;1.385
podarować;5.192;1.115;1.692;1.769;1.077
podatek;1.385;4.115;3.846;3.269;3.500
podawać;2.885;1.654;1.538;1.615;1.308
podejmować;3.296;1.778;1.407;2.926;1.519
podejrzewać;1.615;4.385;3.538;4.500;3.692
podeszwa;1.500;1.615;1.192;1.385;2.308
podjadać;3.815;2.593;2.222;1.889;2.185
podkreślać;2.519;1.704;1.370;1.741;1.407
podłoże;2.000;1.385;1.385;1.462;1.423
podły;1.296;4.889;4.037;4.074;4.370
podminowany;1.333;3.296;3.259;3.407;2.593
podniecający;5.222;1.444;1.333;1.704;1.333
podnosić;2.962;1.615;1.462;1.846;1.269
podpierać;2.556;1.667;2.037;2.259;1.481
podróż;5.769;1.500;1.923;2.846;1.308
podróżować;5.692;1.231;1.500;2.346;1.192
podstawa;2.692;1.846;1.731;2.038;1.731
podstęp;1.593;4.889;3.148;4.556;4.148
podstępny;1.500;3.615;2.577;3.692;3.038
poduszka;5.231;1.115;1.385;1.423;1.038
podwędzić;2.077;2.500;1.808;2.077;2.423
podziemny;1.731;1.846;3.000;3.731;2.615
podziękowanie;4.731;1.192;1.269;1.346;1.115
podżegać;1.231;3.885;1.962;2.769;3.077
poetycki;4.154;1.654;2.423;1.615;1.308
poezja;4.346;2.038;2.769;2.154;2.000
pogrzebać;1.077;3.538;5.462;4.923;3.692
pointa;3.037;1.556;1.593;1.778;1.407
pojedynek;2.615;2.962;2.231;3.808;2.269
pojemnik;1.500;1.000;1.154;1.038;1.269
pojętny;4.778;1.593;1.407;1.630;1.407
pojmować;3.962;1.538;1.654;1.808;1.462
pokazywać;3.500;1.808;1.577;2.077;1.462
poker;3.192;1.731;1.615;2.692;1.577
pokorny;3.154;2.269;2.269;2.423;1.885
pokój;4.769;1.423;1.577;1.577;1.346
pokrywka;1.667;1.296;1.185;1.185;1.148
pokrzepienie;3.462;1.423;1.846;1.500;1.192
pokrzepiony;4.346;1.231;1.538;1.577;1.231
pokusa;3.462;2.231;1.846;3.308;1.846
pokutny;1.385;2.192;3.115;1.923;2.269
polana;5.462;1.346;1.500;1.808;1.346
polecać;4.077;1.615;1.577;1.654;1.462
polędwica;3.962;1.308;1.308;1.308;1.731
policjant;1.654;2.038;1.654;2.692;1.885
policyjny;1.741;2.333;1.963;3.148;2.185
policzek;2.769;3.231;2.923;2.846;2.231
poligamiczny;2.154;2.308;1.962;2.423;2.962
polityka;1.808;4.154;3.038;3.269;4.346
położenie;2.423;1.654;1.577;1.962;1.308
południe;3.192;1.462;1.538;1.385;1.154
połysk;4.231;1.538;1.346;1.615;1.346
pomagać;5.615;1.769;1.769;1.846;1.192
pomidorowy;4.269;1.192;1.077;1.077;1.231
pomieszczenie;2.192;1.577;1.500;1.654;1.308
pomijać;1.333;3.296;2.778;3.000;1.963
pomnik;3.038;1.615;2.308;1.654;1.385
pomocnik;4.148;1.852;1.852;2.407;1.741
pomocny;5.074;1.296;1.407;1.519;1.222
pomówienie;1.222;4.037;3.667;3.778;3.148
pompa;2.923;1.231;1.231;1.577;1.346
pomyłka;1.500;4.385;3.577;3.538;2.692
pomysł;5.333;1.333;1.222;1.889;1.074
ponadczasowy;4.692;1.308;1.538;1.308;1.154
ponury;1.704;2.519;3.815;2.370;2.000
pończocha;3.462;1.077;1.077;1.269;1.346
popielaty;1.923;1.462;2.577;1.885;1.885
popiół;1.852;1.815;2.481;2.519;2.037
popołudnie;4.407;1.222;1.259;1.333;1.000
por;2.538;1.346;1.538;1.192;2.038
porażka;1.111;5.296;5.519;5.407;3.593
poronić;1.269;4.500;5.885;5.269;3.500
porozumienie;4.423;1.615;1.385;1.846;1.385
poroże;2.481;1.815;1.852;2.000;2.444
port;4.077;1.192;1.962;1.500;1.154
portal;3.154;1.577;1.577;2.192;1.462
porto;2.741;1.593;1.778;1.519;1.333
porządek;4.346;1.692;1.192;1.577;1.538
posag;3.923;1.538;1.769;1.769;1.654
posępny;1.154;2.615;4.731;2.885;1.962
posiedzenie;1.385;2.692;1.500;1.808;2.462
posiłek;5.192;1.346;1.308;1.346;1.269
postępować;2.231;1.654;1.654;1.846;1.385
poszukiwać;3.704;1.778;1.963;2.407;1.593
poślubić;5.500;1.462;1.769;2.654;1.154
pośpiech;2.154;4.038;2.115;3.346;2.346
poświęcać;2.615;1.769;2.462;2.500;1.423
potencjalny;2.346;1.538;1.423;2.423;1.462
potężny;2.808;2.654;2.346;3.577;2.192
potknięcie;1.654;3.846;3.308;3.385;2.038
potop;1.731;2.808;3.962;4.154;2.038
potrzebny;3.556;1.704;2.000;2.074;1.444
potrzebować;2.346;2.269;2.577;2.577;1.731
potwierdzać;3.259;1.333;1.296;1.630;1.111
potwierdzić;3.667;1.407;1.556;1.852;1.259
potworny;1.481;3.185;3.370;4.185;3.852
potwór;1.741;2.815;2.444;4.481;3.148
pouczać;1.704;4.333;2.148;2.296;2.444
powiedzieć;3.000;1.346;1.538;2.308;1.192
powieka;2.444;1.481;1.630;1.704;1.630
powieść;4.630;1.593;1.667;1.704;1.333
powietrze;5.115;1.192;1.577;1.538;1.231
powitalny;4.654;1.500;1.385;1.692;1.192
powodować;2.654;2.962;2.615;2.962;2.077
powódź;1.115;3.538;4.346;4.923;3.346
powracać;4.000;1.269;2.385;2.115;1.192
powrót;5.259;1.630;2.222;2.074;1.185
powstanie;2.577;2.192;2.769;3.269;1.615
powstawać;4.500;1.654;1.692;1.808;1.231
pozbawiać;1.308;4.000;4.269;3.923;3.423
pozdrawiać;5.115;1.077;1.346;1.423;1.269
poziom;2.741;1.519;1.519;1.889;1.556
poznanie;4.346;1.654;1.577;2.615;1.385
pozwalać;3.704;1.593;1.556;1.778;1.519
pozytywny;5.778;1.111;1.148;1.148;1.037
pożądanie;5.333;1.778;1.667;2.185;1.185
pożegnanie;1.889;2.481;5.333;3.704;1.889
pożyczać;2.077;2.346;1.615;2.654;1.692
pożyczka;1.556;3.556;3.704;4.852;2.926
pożywienie;4.308;1.308;1.269;1.308;1.269
